Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec
23/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
26/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
27/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
28/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
29/04/2021,Calabacita regional,Primera,Kilogramo,Aguascalaientes,Zacatecas: Mercado de Abasto de Zacatecas,18,18,18
22/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
23/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
26/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
27/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
28/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
29/04/2021,Chile de Árbol seco,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,115,120,120
22/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
23/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
26/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
27/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
28/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
29/04/2021,Chile Guajillo,Primera,Kilogramo,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,105,110,110
