Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs.
25/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
26/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
29/04/2019,Chile de Árbol seco,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,100,110,110,
22/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
23/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
24/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
25/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
26/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
29/04/2019,Chile Guajillo,Primera,Kilogramo,Aguascalientes,Michoacán: Mercado de Abasto de Morelia,95,105,105,
22/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
23/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
24/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
25/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
26/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
29/04/2019,Fresa,Primera,Caja de 6 kg.,Baja California,"Baja California : Central de Abasto INDIA, Tijuana",100,100,100,
22/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
23/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
24/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
25/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
26/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
29/04/2019,Manzana Golden Delicious,Primera,Caja de 18 kg.,Baja California,Baja California Sur: Unión de Comerciantes de La Paz,720,820,720,
