Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs
27/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
28/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
29/04/2020,Nopal,Primera,Caja de 20 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,70,80,75,
22/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
23/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
24/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
27/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
28/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
29/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,"Coahuila: Central de Abasto de La Laguna, Torreón",200,220,210,
22/04/2020,Calabacita Criolla,Primera,Caja de 13 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",200,220,210,
23/04/2020,Calabacita Criolla,Primera,Caja de 13 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",200,220,210,
24/04/2020,Calabacita Criolla,Primera,Caja de 13 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",200,220,210,
29/04/2020,Calabacita Criolla,Primera,Caja de 13 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",220,250,220,
22/04/2020,Melón Cantaloupe # 12,Primera,Kilogramo,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",12,12,12,
23/04/2020,Melón Cantaloupe # 12,Primera,Kilogramo,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",12,12,12,
24/04/2020,Melón Cantaloupe # 12,Primera,Kilogramo,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",12,12,12,
22/04/2020,Nopal grande,Primera,Caja de 40 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",160,170,170,
23/04/2020,Nopal grande,Primera,Caja de 40 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",160,170,170,
24/04/2020,Nopal grande,Primera,Caja de 40 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",160,170,170,
29/04/2020,Nopal grande,Primera,Caja de 40 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",170,180,170,
22/04/2020,Zanahoria mediana,Primera,Arpilla de 20 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",130,135,130,
23/04/2020,Zanahoria mediana,Primera,Arpilla de 20 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",130,135,130,
24/04/2020,Zanahoria mediana,Primera,Arpilla de 20 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",130,135,130,
29/04/2020,Zanahoria mediana,Primera,Arpilla de 20 kg.,Aguascalientes,"Durango: Central de Abasto ""Francisco Villa""",120,125,120,
22/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,205,215,215,
23/04/2020,Calabacita Criolla,Primera,Caja de 16 kg.,Aguascalientes,Durango: Centro de Distribución y Abasto de Gómez Palacio,205,215,215,
